name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,packing_millis,millis,recursive_steps
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,5,5,5,true,100,0,0,63,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,10,10,0,true,8,0,0,30,6
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,15,15,0,true,3,0,0,13,11
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,20,20,0,true,0,0,0,16,16
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,25,25,0,true,0,0,0,27,29
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,30,30,0,true,0,0,0,55,88
synth-n_100-m_263-k_5-p_0.05.txt,99,263,5,5,5,true,99,0,0,2,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,4,4,1,true,86,0,0,4,3
synth-n_100-m_302-k_15-p_0.05.txt,100,302,8,8,4,true,87,0,0,4,2
synth-n_100-m_332-k_20-p_0.05.txt,100,332,14,14,3,true,57,0,0,7,18
synth-n_100-m_336-k_30-p_0.05.txt,100,336,15,15,1,true,42,0,0,99,270
synth-n_100-m_343-k_25-p_0.05.txt,100,343,14,14,0,true,43,0,0,17,51
synth-n_100-m_515-k_5-p_0.1.txt,100,515,5,5,0,true,37,0,0,5,3
synth-n_100-m_591-k_15-p_0.1.txt,100,591,15,15,0,true,17,0,0,18,35
synth-n_100-m_611-k_10-p_0.1.txt,100,611,10,10,0,true,19,0,0,4,9
synth-n_100-m_628-k_20-p_0.1.txt,100,628,20,20,0,true,12,0,0,11,31
synth-n_100-m_691-k_25-p_0.1.txt,100,691,25,25,0,true,3,0,0,436,1247
synth-n_100-m_732-k_30-p_0.1.txt,100,732,30,30,0,true,1,0,0,2175,12513
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,50,50,0,true,0,0,0,1327,49
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,70,70,0,true,0,0,0,1686,66
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,100,100,0,true,0,0,0,2321,98
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,120,120,0,true,0,0,0,2787,120
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,150,150,0,true,0,0,8,73106,818
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,200,200,0,true,0,0,4,45150,708
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,50,50,0,true,13,0,0,226,41
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,70,70,0,true,11,0,0,1688,111
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,100,100,0,true,5,0,0,2981,238
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,120,120,0,true,0,0,0,2598,209
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,150,150,0,true,0,0,0,1272,231
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,200,194,0,false,0,0,8,90043,12075
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,50,50,0,true,3,0,0,556,45
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,70,70,0,true,0,0,0,630,65
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,100,100,0,true,0,0,0,1946,107
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,120,120,0,true,0,0,1,18809,486
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,150,150,0,true,0,0,0,1348,155
