name,millis,n,reduce_n,m,reduce_m,reduce_k,packing_size,heuristic_size
e_001,0,475,0,651,0,2,0,0
e_003,0,1024,919,6055,5594,47,0,0
e_005,0,1024,875,5736,5134,60,0,0
e_007,0,912,137,4198,553,203,0,0
e_009,0,1000,380,6804,1622,224,0,0
e_011,0,4086,2213,15076,7767,741,0,0
e_013,0,1924,513,7038,2588,282,0,0
e_015,0,1979,901,9390,4900,287,0,0
e_017,0,886,188,3800,684,259,0,0
e_019,0,2034,1660,11718,9873,125,0,0
e_021,0,1872,477,6147,2141,259,0,0
e_023,0,1600,143,5400,425,371,0,0
e_025,0,860,99,2802,256,213,0,0
e_027,0,1899,246,9406,828,429,0,0
e_029,0,1938,387,11302,1347,492,0,0
e_031,0,4053,2834,26071,17917,427,0,0
e_033,0,850,153,2010,439,185,0,0
e_035,0,4095,3347,17074,13592,317,0,0
e_037,0,4094,3873,28675,27696,89,0,0
e_039,0,928,361,2570,1212,177,0,0
e_041,0,4093,3675,27082,25269,156,0,0
e_043,0,1623,148,5700,461,437,0,0
e_045,0,4093,3972,30202,29576,52,0,0
e_047,0,4092,3827,28612,27287,110,0,0
e_049,0,4057,2951,23857,18425,348,0,0
e_051,0,3855,2264,12946,8578,749,0,0
e_053,0,4080,3673,26872,24873,161,0,0
e_055,0,3844,1827,12085,6678,877,0,0
e_057,0,3847,1921,12298,7148,827,0,0
e_059,0,722,104,1124,282,155,0,0
e_061,0,1724,273,4320,830,394,0,0
e_063,0,4062,3187,23766,19470,312,0,0
e_065,0,8089,4707,48759,28057,1060,0,0
e_067,0,1392,133,4241,330,432,0,0
e_069,0,4053,2819,22368,16707,416,0,0
e_071,0,1789,398,4896,1251,438,0,0
e_073,0,8132,6157,51796,41719,662,0,0
e_075,0,8189,5402,31504,19960,1128,0,0
e_077,0,8168,7400,54744,51233,305,0,0
e_079,0,8153,7018,52154,46508,438,0,0
e_081,0,8142,6958,51030,45472,456,0,0
e_083,0,1712,466,3537,1377,454,0,0
e_085,0,8189,8131,69446,69192,29,0,0
e_087,0,8190,8128,69372,69092,31,0,0
e_089,0,8168,7384,55556,52106,250,0,0
e_091,0,1726,406,3364,1135,504,0,0
e_093,0,16333,14988,109487,102591,552,0,0
e_095,0,8174,7664,59029,56758,175,0,0
e_097,0,16314,13919,103725,91898,920,0,0
e_099,0,8061,6282,38175,31467,731,0,0
