min,real,max
0,3,16
0,3,16
0,3,16
0,4,21
0,3,21
0,1,21
0,3,22
0,3,22
0,1,22
0,2,19
0,3,19
0,4,19
0,4,25
0,3,25
0,3,25
0,6,39
0,6,39
0,4,39
0,6,44
0,6,44
0,4,44
0,7,49
0,6,49
0,3,49
0,8,62
0,9,62
0,9,62
0,5,62
0,3,62
0,4,62
0,4,38
0,4,38
0,3,38
0,12,83
0,10,83
0,6,83
0,13,115
0,13,115
0,8,115
0,10,81
0,8,81
0,5,81
0,15,124
0,13,124
0,6,124
0,11,76
0,11,76
0,5,76
0,15,143
0,12,143
0,10,143
0,17,157
0,15,157
0,10,157
0,17,109
0,14,109
0,9,109
0,21,148
0,19,148
0,13,148
0,21,163
0,18,163
0,14,163
0,29,344
0,26,344
0,19,344
0,29,263
0,24,263
0,17,263
0,0,3
0,0,3
0,0,3
0,2,11
0,2,11
0,1,11
0,0,95
0,20,74
0,0,96
0,0,84
0,43,103
0,8,18
0,2,114
0,9,43
0,5,28
0,2,25
0,0,66
0,38,143
0,0,62
0,2,48
0,20,116
0,0,83
0,11,1238
0,16,157
0,8,108
0,11,248
0,79,549
0,14,593
0,10,55
0,8,125
0,0,220
0,3,14
0,0,6
0,1,6
0,0,1
0,0,1
0,0,2
0,0,2
0,0,5
0,0,5
0,1,9
0,0,10
0,1,12
0,2,12
0,2,19
0,2,24
0,3,27
0,4,29
0,3,29
0,0,4
0,7,55
0,5,57
0,7,58
0,0,12
0,2,14
0,1,14
0,1,14
0,0,17
0,2,27
0,2,29
0,1,30
0,3,32
0,4,36
0,2,48
0,3,49
0,6,56
0,6,57
0,6,57
0,2,88
0,4,92
0,10,96
0,13,96
0,5,97
0,7,101
0,0,18
0,0,23
0,1,25
0,1,29
0,1,30
0,3,31
0,3,44
0,2,46
0,4,47
0,2,69
0,2,69
0,6,77
0,8,79
0,6,84
0,11,96
0,8,97
0,2,137
0,4,139
0,6,151
0,14,160
0,10,163
0,8,167
0,20,178
0,1,33
0,0,35
0,2,35
0,3,40
0,2,45
0,1,45
0,4,48
